,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
400,Capital,Mendoza,530.0,311.0,4.0,4.0,440000.0
401,Capital,Mendoza,184.0,160.0,2.0,3.0,235000.0
402,Capital,Mendoza,250.0,300.0,3.0,3.0,280000.0
403,Capital,Mendoza,300.0,250.0,3.0,3.0,280000.0
404,Capital,Mendoza,890.0,600.0,4.0,5.0,450000.0
405,Capital,Mendoza,596.0,308.0,4.0,4.0,340000.0
406,Capital,Mendoza,300.0,170.0,2.0,2.0,290000.0
407,Capital,Mendoza,250.0,280.0,2.0,4.0,110000.0
408,Capital,Mendoza,200.0,170.0,2.0,2.0,55000.0
409,Capital,Mendoza,102.0,76.0,1.0,3.0,36000.0
410,Capital,Mendoza,150.0,250.0,3.0,4.0,200000.0
411,Capital,Mendoza,330.0,90.0,3.0,2.0,55000.0
412,Capital,Mendoza,104.0,175.0,2.0,3.0,64000.0
413,Capital,Mendoza,143.0,189.0,3.0,4.0,155000.0
414,Capital,Mendoza,290.0,191.0,2.0,4.0,106000.0
415,Capital,Mendoza,300.0,210.0,3.0,3.0,285000.0
416,Capital,Mendoza,360.0,320.0,3.0,4.0,280000.0
417,Capital,Mendoza,454.0,182.0,1.0,3.0,132000.0
418,Capital,Mendoza,357.0,265.0,3.0,3.0,360000.0
