,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
400,Capital,Mendoza,530m2,311m2,4,4,US$ 440.000
401,Capital,Mendoza,184m2,160m2,2,3,US$ 235.000
402,Capital,Mendoza,250m2,300m2,3,3,US$ 280.000
403,Capital,Mendoza,300m2,250m2,3,3,US$ 280.000
404,Capital,Mendoza,890m2,600m2,4,5,US$ 450.000
405,Capital,Mendoza,596m2,308m2,4,4,US$ 340.000
406,Capital,Mendoza,300m2,170m2,2,2,US$ 290.000
407,Capital,Mendoza,250m2,280m2,2,4,US$ 110.000
408,Capital,Mendoza,200m2,170m2,2,2,US$ 55.000
409,Capital,Mendoza,102m2,76m2,1,3,US$ 36.000
410,Capital,Mendoza,150m2,250m2,3,4,US$ 200.000
411,Capital,Mendoza,330m2,90m2,3,2,US$ 55.000
412,Capital,Mendoza,104m2,175m2,2,3,US$ 64.000
413,Capital,Mendoza,143m2,189m2,3,4,US$ 155.000
414,Capital,Mendoza,290m2,191m2,2,4,US$ 106.000
415,Capital,Mendoza,300m2,210m2,3,3,US$ 285.000
416,Capital,Mendoza,360m2,320m2,3,4,US$ 280.000
417,Capital,Mendoza,454m2,182m2,1,3,US$ 132.000
418,Capital,Mendoza,357m2,265m2,3,3,US$ 360.000
419,Capital,Mendoza,315m2,330m2,4,6,US$ 500.000
420,Capital,Mendoza,530m2,330m2,5,3,US$ 330.000
421,Capital,Mendoza,200m2,150m2,2,3,US$ 100.000
422,Capital,Mendoza,300m2,215m2,3,3,US$ 250.000
423,Capital,Mendoza,400m2,400m2,4,5,US$ 900.000
424,Capital,Mendoza,100m2,92m2,2,3,US$ 45.000
425,Capital,Mendoza,98m2,98m2,1,3,US$ 69.000
426,Capital,Mendoza,274m2,210m2,3,3,US$ 95.000
427,Capital,Mendoza,419m2,419m2,3,4,US$ 260.000
428,Capital,Mendoza,280m2,280m2,1,3,US$ 116.000
429,Capital,Mendoza,220m2,155m2,2,4,US$ 78.000
